,T,N_synth,ratio_stable,ratio_with_controller,controller_found
0,10,1,43.25,1.0,True
1,32,1,41.78,1.0,True
2,100,1,40.858,1.0,True
3,316,1,40.467999999999996,1.0,True
4,1000,1,40.302,1.0,True
5,3162,1,40.46,1.0,True
6,10000,1,40.022000000000006,1.0,True
7,10,2,71.938,1.0,True
8,32,2,71.81,1.0,True
9,100,2,70.72999999999999,1.0,True
10,316,2,69.974,1.0,True
11,1000,2,69.362,1.0,True
12,3162,2,69.594,1.0,True
13,10000,2,69.05714285714285,0.98,True
14,10,4,88.224,1.0,True
15,32,4,88.96799999999999,1.0,True
16,100,4,88.754,1.0,True
17,316,4,88.858,1.0,True
18,1000,4,88.488,1.0,True
19,3162,4,88.75102040816326,0.98,True
20,10000,4,87.87608695652173,0.92,True
21,10,8,95.17708333333333,0.96,True
22,32,8,94.7125,0.96,True
23,100,8,95.0061224489796,0.98,True
24,316,8,94.68367346938777,0.98,True
25,1000,8,94.74285714285713,0.98,True
26,3162,8,94.70204081632653,0.98,True
27,10000,8,94.71020408163265,0.98,True
28,10,16,96.65909090909092,0.88,True
29,32,16,96.80909090909091,0.88,True
30,100,16,96.94772727272728,0.88,True
31,316,16,96.96222222222222,0.9,True
32,1000,16,97.05217391304348,0.92,True
33,3162,16,96.96530612244898,0.98,True
34,10000,16,97.06530612244897,0.98,True
35,10,32,97.82941176470588,0.68,True
36,32,32,97.85405405405405,0.74,True
37,100,32,97.88108108108108,0.74,True
38,316,32,97.82051282051282,0.78,True
39,1000,32,97.86585365853658,0.82,True
40,3162,32,97.86808510638298,0.94,True
41,10000,32,97.90416666666665,0.96,True
42,10,63,98.21923076923078,0.52,True
43,32,63,98.33571428571429,0.56,True
44,100,63,98.33214285714286,0.56,True
45,316,63,98.31428571428572,0.56,True
46,1000,63,98.29310344827587,0.58,True
47,3162,63,98.25277777777778,0.72,True
48,10000,63,98.1875,0.96,True
49,10,125,98.64444444444445,0.18,True
50,32,125,98.5,0.24,True
51,100,125,98.50769230769231,0.26,True
52,316,125,98.46000000000001,0.3,True
53,1000,125,98.52777777777779,0.36,True
54,3162,125,98.45454545454545,0.44,True
55,10000,125,98.3923076923077,0.78,True
56,10,248,98.2,0.02,True
57,32,248,98.7,0.06,True
58,100,248,98.73333333333333,0.06,True
59,316,248,98.7,0.06,True
60,1000,248,98.7,0.06,True
61,3162,248,98.72000000000001,0.1,True
62,10000,248,98.48461538461538,0.26,True
63,10,494,,0.0,False
64,32,494,,0.0,False
65,100,494,,0.0,False
66,316,494,,0.0,False
67,1000,494,,0.0,False
68,3162,494,,0.0,False
69,10000,494,98.5,0.04,True
70,10,984,,0.0,False
71,32,984,,0.0,False
72,100,984,,0.0,False
73,316,984,,0.0,False
74,1000,984,,0.0,False
75,3162,984,,0.0,False
76,10000,984,,0.0,False
